order_id,customer_id,product,price,quantity,city,order_date
0,151,Headphones,16047,3,Delhi,2026-02-21 10:02:45.962012
1,422,Laptop,19929,2,Delhi,2025-12-03 10:02:45.962027
2,227,Laptop,29699,2,Mumbai,2025-12-16 10:02:45.962030
3,195,Headphones,2492,1,Pune,2025-12-18 10:02:45.962032
4,164,Phone,38465,4,Mumbai,2026-01-24 10:02:45.962033
5,235,Phone,45392,3,Pune,2026-02-11 10:02:45.962034
6,438,Phone,7504,2,Jaipur,2025-12-22 10:02:45.962036
7,300,Phone,23328,2,Jaipur,2026-02-28 10:02:45.962037
8,376,Headphones,15038,3,Mumbai,2026-02-21 10:02:45.962038
9,409,Headphones,16316,1,Pune,2026-01-23 10:02:45.962039
10,367,Laptop,26167,5,Mumbai,2025-12-27 10:02:45.962041
11,334,Mouse,35189,5,Jaipur,2025-12-12 10:02:45.962042
12,365,Mouse,18557,3,Jaipur,2025-12-04 10:02:45.962043
13,284,Keyboard,26463,1,Delhi,2026-02-27 10:02:45.962044
14,475,Headphones,28226,3,Mumbai,2025-11-28 10:02:45.962046
15,434,Phone,32160,1,Pune,2025-12-20 10:02:45.962047
16,136,Keyboard,24260,3,Mumbai,2026-02-03 10:02:45.962048
17,273,Laptop,17448,2,Pune,2026-01-02 10:02:45.962049
18,268,Keyboard,12688,3,Delhi,2025-12-17 10:02:45.962050
19,323,Keyboard,25285,5,Bangalore,2026-02-12 10:02:45.962051
20,453,Laptop,36728,5,Bangalore,2025-12-08 10:02:45.962052
21,395,Headphones,18686,1,Delhi,2026-01-14 10:02:45.962053
22,283,Headphones,25665,2,Jaipur,2025-12-20 10:02:45.962055
23,314,Laptop,48867,1,Bangalore,2026-01-02 10:02:45.962056
24,186,Keyboard,36020,4,Pune,2025-12-09 10:02:45.962057
25,231,Headphones,16056,5,Bangalore,2026-01-12 10:02:45.962058
26,308,Laptop,18288,3,Mumbai,2026-02-15 10:02:45.962059
27,366,Phone,3581,2,Mumbai,2026-01-22 10:02:45.962060
28,427,Keyboard,20278,3,Pune,2025-12-13 10:02:45.962061
29,370,Phone,32879,2,Delhi,2025-12-16 10:02:45.962062
30,473,Laptop,47328,2,Mumbai,2025-12-04 10:02:45.962063
31,151,Keyboard,45636,1,Bangalore,2026-01-26 10:02:45.962065
32,374,Keyboard,35306,3,Mumbai,2026-01-23 10:02:45.962066
33,456,Phone,39720,5,Bangalore,2025-12-21 10:02:45.962067
34,116,Phone,18038,1,Pune,2026-01-13 10:02:45.962068
35,322,Laptop,35593,4,Mumbai,2026-02-22 10:02:45.962069
36,336,Keyboard,15566,1,Delhi,2026-02-17 10:02:45.962070
37,484,Headphones,29961,4,Pune,2025-12-09 10:02:45.962071
38,115,Phone,35246,2,Delhi,2026-01-04 10:02:45.962072
39,124,Mouse,42723,4,Mumbai,2026-02-16 10:02:45.962074
40,146,Mouse,49353,5,Jaipur,2026-02-23 10:02:45.962075
41,125,Headphones,24259,1,Bangalore,2026-02-18 10:02:45.962076
42,162,Laptop,39756,1,Jaipur,2025-12-11 10:02:45.962077
43,220,Mouse,34699,4,Bangalore,2025-11-28 10:02:45.962078
44,197,Phone,34634,5,Bangalore,2026-01-23 10:02:45.962079
45,317,Laptop,21970,5,Jaipur,2026-01-24 10:02:45.962080
46,483,Keyboard,21196,4,Delhi,2026-02-07 10:02:45.962081
47,293,Phone,7770,4,Delhi,2025-12-10 10:02:45.962083
48,444,Mouse,34083,2,Jaipur,2026-02-17 10:02:45.962084
49,477,Headphones,12362,1,Jaipur,2026-02-26 10:02:45.962085
50,375,Laptop,27649,5,Delhi,2026-01-20 10:02:45.962086
51,387,Laptop,17641,1,Pune,2026-01-13 10:02:45.962087
52,101,Mouse,13859,3,Pune,2025-12-30 10:02:45.962088
53,478,Phone,3000,1,Delhi,2026-01-26 10:02:45.962089
54,471,Mouse,19301,5,Jaipur,2026-02-23 10:02:45.962090
55,374,Headphones,33092,5,Mumbai,2026-01-31 10:02:45.962091
56,268,Laptop,9479,3,Delhi,2026-01-18 10:02:45.962092
57,366,Keyboard,41054,5,Pune,2026-01-09 10:02:45.962094
